task,project,sanitizer,crash_type,source_rev
arduinojson/arvo_24633,arduinojson,MSan,"use-of-uninitialized-value /src/arduinojson/extras/fuzzing/../../src/ArduinoJson/Json/Utf8.hpp:26:9 in void ArduinoJson6160_71::Utf8::encodeCodepoint<ArduinoJson6160_71::StringCopier>(unsigned int, ArduinoJson6160_71::StringCopier&)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/arvo_24101,arrow,ASan,negative-size-param /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/arvo_41143,arrow,ASan,heap-buffer-overflow /src/arrow/cpp/src/arrow/array/validate.cc:571:26 in ValidateOffsets<arrow::ListType>,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/arvo_41221,arrow,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/arvo_57209,arrow,UBSan,SEGV /src/arrow/cpp/src/arrow/util/bit_util.h:70:59 in PopCount,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/arvo_63679,arrow,ASan,heap-buffer-overflow /usr/local/bin/../include/c++/v1/__utility/swap.h:37:7 in swap<arrow::Buffer *>,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/oss-fuzz_447480433,arrow,ASan,heap-buffer-overflow /src/arrow/cpp/src/arrow/util/bit_stream_utils_internal.h:112:5 in ReadLittleEndianWord,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
arrow/oss-fuzz_454097865,arrow,ASan,heap-buffer-overflow /src/arrow/cpp/src/arrow/util/bit_util.h:458:26 in ParseLeadingLEB128<unsigned int>,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_24465,assimp,ASan,"heap-buffer-overflow /src/assimp/include/assimp/IOStreamBuffer.h:274:15 in Assimp::IOStreamBuffer<char>::getNextDataLine(std::__1::vector<char, std::__1::allocator<char> >&, char)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_25240,assimp,ASan,SEGV /src/assimp/code/AssetLib/Obj/ObjFileMtlImporter.cpp in Assimp::ObjFileMtlImporter::getFloatValue(float&),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_25341,assimp,ASan,heap-buffer-overflow /src/assimp/include/assimp/texture.h:104:16 in operator!=,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_25401,assimp,ASan,"heap-buffer-overflow /src/assimp/code/AssetLib/HMP/HMPLoader.cpp:456:18 in Assimp::HMPImporter::ReadFirstSkin(unsigned int, unsigned char const*, unsigned char const**)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_33238,assimp,ASan,stack-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:497:3 in strncmp,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_38870,assimp,ASan,stack-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_38947,assimp,ASan,"stack-buffer-overflow /usr/local/bin/../include/c++/v1/string:1507:34 in std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::__get_long_size() const",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_43414,assimp,ASan,"heap-buffer-overflow /src/assimp/code/Common/ZipArchiveIOSystem.cpp:131:13 in Assimp::IOSystem2Unzip::opendisk(void*, void*, unsigned int, int)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_47392,assimp,ASan,heap-buffer-overflow /src/assimp/include/assimp/ParsingUtils.h:144:12 in SkipSpacesAndLineEnd<char>,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_49797,assimp,ASan,heap-buffer-overflow /src/assimp/code/Common/ScenePreprocessor.cpp:148:26 in Assimp::ScenePreprocessor::ProcessMesh(aiMesh*),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_50589,assimp,UBSan,"SEGV /src/assimp/include/assimp/IOStreamBuffer.h:298:16 in Assimp::IOStreamBuffer<char>::getNextLine(std::__1::vector<char, std::__1::allocator<char> >&)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_57001,assimp,ASan,SEGV /src/assimp/code/PostProcessing/SortByPTypeProcess.cpp:175:17 in Assimp::SortByPTypeProcess::Execute(aiScene*),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_58479,assimp,UBSan,SEGV /src/assimp/code/AssetLib/MDL/MDLLoader.cpp:437:24 in Assimp::MDLImporter::InternReadFile_Quake1(),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/arvo_58770,assimp,UBSan,SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x18bb38) (BuildId: 87b331c034a6458c64ce09c03939e947212e18ce),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
